form	count	english candidates	example
imundície	68	uncleanness (0.58), filthiness (0.53), unclean (0.11), fornication (0.10)	1 Néfi 15:27 — And I said unto them that the water which my father saw was filthiness; and so much was his mind swallowed up in other things that he beheld not the f
assolação	68	desolation (0.32), desolate (0.28), waste (0.15), dragons (0.09)	2 Crônicas 29:8 — Wherefore the wrath of the LORD was upon Judah and Jerusalem, and he hath delivered them to trouble, to astonishment, and to hissing, as ye see with y
derramamento	61	shedding (0.55), bloodshed (0.53), bloodsheds (0.13), wars (0.11)	1 Samuel 25:26 — Now therefore, my lord, as the LORD liveth, and as thy soul liveth, seeing the LORD hath withholden thee from coming to shed blood, and from avenging 
bode	56	goat (0.55), kid (0.53), goats (0.38), continual (0.20)	Daniel 8:5 — And as I was considering, behold, an he goat came from the west on the face of the whole earth, and touched not the ground: and the goat had a notable
antiguidade	53	old (0.15), ancient (0.13), seer (0.07), renown (0.06)	2 Pedro 3:5 — For this they willingly are ignorant of, that by the word of God the heavens were of old, and the earth standing out of the water and in the water:
libações	34	offerings (0.24), bullocks (0.21), rams (0.18), lambs (0.17)	1 Crônicas 29:21 — And they sacrificed sacrifices unto the LORD, and offered burnt offerings unto the LORD, on the morrow after that day, even a thousand bullocks, a tho
iníquo	34	wicked (0.11), ethem (0.11), transgressor (0.09), liar (0.07)	1 Coríntios 5:13 — But them that are without God judgeth. Therefore put away from among yourselves that wicked person.
libação	31	continual (0.27), hin (0.24), savour (0.17), goat (0.16)	2 Reis 16:13 — And he burnt his burnt offering and his meat offering, and poured his drink offering, and sprinkled the blood of his peace offerings, upon the altar.
longanimidade	30	longsuffering (0.50), suffering (0.41), long-suffering (0.24), patience (0.18)	1 Néfi 19:9 — And the world, because of their iniquity, shall judge him to be a thing of naught; wherefore they scourge him, and he suffereth it; and they smite him
intermédio	28	ordain (0.08), imparteth (0.07), select (0.07), remission (0.07)	2 Néfi 2:6 — Wherefore, redemption cometh in and through the Holy Messiah; for he is full of grace and truth.
exceção	24	settled (0.11), save (0.08), billings (0.08), dispose (0.08)	1 Reis 15:22 — Then king Asa made a proclamation throughout all Judah; none was exempted: and they took away the stones of Ramah, and the timber thereof, wherewith B
acepção	24	persons (0.43), respect (0.40), respecter (0.34), partial (0.13)	1 Pedro 1:17 — And if ye call on the Father, who without respect of persons judgeth according to every man's work, pass the time of your sojourning here in fear:
grandiosas	21	reveal (0.12), boasts (0.10), sets (0.10), consistently (0.10)	1 Néfi 15:3 — For he truly spake many great things unto them, which were hard to be understood, save a man should inquire of the Lord; and they being hard in their 
retaguarda	21	rear (0.52), rereward (0.48), rearward (0.27), blowing (0.17)	1 Samuel 29:2 — And the lords of the Philistines passed on by hundreds, and by thousands: but David and his men passed on in the rereward with Achish.
estultícia	21	foolishness (0.42), folly (0.41), fools (0.18), madness (0.14)	Eclesiastes 2:13 — Then I saw that wisdom excelleth folly, as far as light excelleth darkness.
desígnios	20	purposes (0.29), designs (0.27), design (0.17), intents (0.14)	1 Coríntios 4:5 — Therefore judge nothing before the time, until the Lord come, who both will bring to light the hidden things of darkness, and will make manifest the c
ombreiras	19	shoulderpieces (0.36), posts (0.31), lintel (0.27), ephod (0.20)	1 Reis 6:31 — And for the entering of the oracle he made doors of olive tree: the lintel and side posts were a fifth part of the wall.
consagração	19	dedication (0.50), consecration (0.45), sheriffs (0.20), dedicating (0.20)	2 Crônicas 7:9 — And in the eighth day they made a solemn assembly: for they kept the dedication of the altar seven days, and the feast seven days.
