form	count	why	example
antiguidade	53	old d=0.15 self	2 Pedro 3:5 — For this they willingly are ignorant of, that by the word of God the heavens were of old, and the earth standing out of the water and in the water:
tribuno	18	roman d=0.26 self	Atos 21:31 — And as they went about to kill him, tidings came unto the chief captain of the band, that all Jerusalem was in an uproar.
entanto	16	wrestling d=0.12 self	1 Néfi 11:17 — And I said unto him: I know that he loveth his children; nevertheless, I do not know the meaning of all things.
diariamente	14	daily d=0.25 self	3 Néfi 7:18 — And it came to pass that they were angry with him, even because he had greater power than they, for it were not possible that they could disbelieve hi
encarregado	9	billings d=0.20 self	1 Coríntios 9:17 — For if I do this thing willingly, I have a reward: but if against my will, a dispensation of the gospel is committed unto me.
ósculo	6	kiss d=0.43 self	1 Coríntios 16:20 — All the brethren greet you. Greet ye one another with an holy kiss.
apocalipse?r	6	no candidate	Doutrina e Convênios 77:8 — Q. What are we to understand by the four angels , spoken of in the 7th chapter and 1st verse of Revelation? A. We are to understand that they are four
romã	6	bell d=0.67 self	Êxodo 28:34 — A golden bell and a pomegranate, a golden bell and a pomegranate, upon the hem of the robe round about.
ignomínia	5	makers d=0.33 self	1 Coríntios 15:43 — It is sown in dishonour; it is raised in glory: it is sown in weakness; it is raised in power:
coscorões	4	fried d=0.67 self	1 Crônicas 23:29 — Both for the shewbread, and for the fine flour for meat offering, and for the unleavened cakes, and for that which is baked in the pan, and for that w
mulo	4	mule d=0.44 self	2 Samuel 13:29 — And the servants of Absalom did unto Amnon as Absalom had commanded. Then all the king's sons arose, and every man gat him up upon his mule, and fled.
ombreira	4	post d=0.43 self	Êxodo 21:6 — Then his master shall bring him unto the judges; he shall also bring him to the door, or unto the door post; and his master shall bore his ear through
anthon	4	pocket d=1.00 self	Joseph Smith—História 1:64 — “I went to the city of New York, and presented the characters which had been translated, with the translation thereof, to Professor Charles Anthon, a 
sândalo	3	algum d=0.67 self	2 Crônicas 9:10 — And the servants also of Huram, and the servants of Solomon, which brought gold from Ophir, brought algum trees and precious stones.
imensurável	3	bases d=0.24 self	2 Reis 25:16 — The two pillars, one sea, and the bases which Solomon had made for the house of the LORD; the brass of all these vessels was without weight.
curtidor	3	tanner d=1.00 self	Atos 9:43 — And it came to pass, that he tarried many days in Joppa with one Simon a tanner.
cláudio	3	claudius d=1.00 self	Atos 11:28 — And there stood up one of them named Agabus, and signified by the Spirit that there should be great dearth throughout all the world: which came to pas
meia-idade	3	warriors d=0.50 self	Alma 5:49 — And now I say unto you that this is the order after which I am called, yea, to preach unto my beloved brethren, yea, and every one that dwelleth in th
sete-estrelo	3	orion d=1.00 self	Amós 5:8 — Seek him that maketh the seven stars and Orion, and turneth the shadow of death into the morning, and maketh the day dark with night: that calleth for
tipografia	3	printing d=0.50 self	Doutrina e Convênios 58:37 — And it is wisdom also that there should be lands purchased in Independence, for the place of the storehouse, and also for the house of the printing .
segui-lo-ão	3	deadly d=0.15 self	Doutrina e Convênios 63:48 — He that sendeth up treasures unto the land of Zion shall receive an inheritance in this world, and his works shall follow him, and also a reward in th
vespões	3	hornet d=0.80 self	Deuteronômio 7:20 — Moreover the LORD thy God will send the hornet among them, until they that are left, and hide themselves from thee, be destroyed.
gavião	3	hawk d=1.00 self	Deuteronômio 14:15 — And the owl, and the night hawk, and the cuckow, and the hawk after his kind,
mortífera	3	deadly d=0.31 self	Jeremias 9:8 — Their tongue is as an arrow shot out; it speaketh deceit: one speaketh peaceably to his neighbour with his mouth, but in heart he layeth his wait.
lucy	3	lucy d=1.00 self	Joseph Smith—História 1:4 — His family consisting of eleven souls, namely, my father, Joseph Smith; my mother , Lucy Smith (whose name, previous to her marriage, was Mack, daught
naum	3	naum d=0.67 self	Lucas 3:25 — Which was the son of Mattathias, which was the son of Amos, which was the son of Naum, which was the son of Esli, which was the son of Nagge,
bezaleel	2	uri d=0.44 self	1 Crônicas 2:20 — And Hur begat Uri, and Uri begat Bezaleel.
taã	2	tahan d=1.00 self	1 Crônicas 7:25 — And Rephah was his son, also Resheph, and Telah his son, and Tahan his son,
cabul	2	cabul d=1.00 self	1 Reis 9:13 — And he said, What cities are these which thou hast given me, my brother? And he called them the land of Cabul unto this day.
adorão	2	adoram d=1.00 self	1 Reis 12:18 — Then king Rehoboam sent Adoram, who was over the tribute; and all Israel stoned him with stones, that he died. Therefore king Rehoboam made speed to g
ouvi-lo-eis	2	ing d=0.33 self	1 Néfi 22:20 — And the Lord will surely prepare a way for his people, unto the fulfill– ing of the words of Moses, which he spake, saying: A prophet shall the Lord y
cozinheiro	2	cook d=0.80 self	1 Samuel 9:23 — And Samuel said unto the cook, Bring the portion which I gave thee, of which I said unto thee, Set it by thee.
opulência	2	chances d=0.67 self	3 Néfi 6:12 — And the people began to be distinguished by ranks, according to their riches and their chances for learning, yea, some were ignorant because of their 
clava	2	club d=0.67 self	Alma 17:37 — But behold, every man that lifted his club to smite Ammon, he smote off their arms with his sword; for he did withstand their blows by smiting their a
incumbência	2	separately d=0.50 self	Alma 35:16 — Therefore, he caused that his sons should be gathered together, that he might give unto them every one his charge, separately, concerning the things p
simbolismo	2	director d=0.33 self	Alma 37:43 — And now, my son, I would that ye should understand that these things are not without a shadow; for as our fathers were slothful to give heed to this c
coligação	2	american d=0.67 self	Regras de Fé 1:10 — We believe in the literal gathering of Israel and in the restoration of the Ten Tribes ; that Zion (the New Jerusalem) will be built upon the American
sensual	2	sensual d=0.40 self	Doutrina e Convênios 20:20 — But by the transgression of these holy laws man became sensual and devilish , and became fallen man.
peterson	2	peterson d=1.00 self	Doutrina e Convênios 32:3 — And Ziba Peterson also shall go with them; and I myself will go with them and be in their midst ; and I am their advocate with the Father, and nothing
booth	2	morley d=0.67 self	Doutrina e Convênios 52:23 — And again, let my servant Isaac Morley and my servant Ezra Booth take their journey, also preaching the word by the way unto this same land.
thompson	2	thompson d=1.00 self	Doutrina e Convênios 56:6 — For behold, I revoke the commandment which was given unto my servants Selah J. Griffin and Newel Knight, in consequence of the stiffneckedness of my p
st	2	louis d=1.00 self	Doutrina e Convênios 60:5 — But, verily, I will speak unto you concerning your journey unto the land from whence you came. Let there be a craft made, or bought, as seemeth you go
louis	2	louis d=1.00 self	Doutrina e Convênios 60:5 — But, verily, I will speak unto you concerning your journey unto the land from whence you came. Let there be a craft made, or bought, as seemeth you go
wilson	2	wilson d=1.00 self	Doutrina e Convênios 75:15 — And again, I say unto my servant Asa Dodds, and unto my servant Calves Wilson, that they also shall take their journey unto the western countries, and
carolina	2	carolina d=1.00 self	Doutrina e Convênios 87:1 — Verily, thus saith the Lord concerning the wars that will shortly come to pass, beginning at the rebellion of South Carolina , which will eventually t
robert	2	robert d=1.00 self	Doutrina e Convênios 124:12 — And again, verily I say unto you, let my servant Robert B. Thompson help you to write this proclamation, for I am well pleased with him, and that he s
galland	2	galland d=1.00 self	Doutrina e Convênios 124:78 — Let my servant Isaac Galland put stock into that house; for I, the Lord, love him for the work he hath done, and will forgive all his sins; therefore,
sherwood	2	sherwood d=1.00 self	Doutrina e Convênios 124:81 — Let my servant Henry G. Sherwood pay stock into that house, as seemeth him good, for himself and his seed after him, from generation to generation.
foster	2	foster d=1.00 self	Doutrina e Convênios 124:115 — And again, verily I say unto you, if my servant Robert D. Foster will obey my voice, let him build a house for my servant Joseph, according to the con
charles	2	charles d=1.00 self	Doutrina e Convênios 124:132 — Namely, Samuel Bent, Henry G. Sherwood, George W. Harris, Charles C. Rich, Thomas Grover, Newel Knight, David Dort, Dunbar Wilson—Seymour Brunson I ha
don	2	don d=1.00 self	Doutrina e Convênios 124:133 — And again, I give unto you Don C. Smith to be a president over a quorum of high priests;
sêneca	2	seneca d=1.00 self	Doutrina e Convênios 128:20 — And again, what do we hear? Glad tidings from Cumorah ! Moroni , an angel from heaven, declaring the fulfilment of the prophets—the book to be reveale
