form	count	gloss	dice	example
libações	34	offerings	0.24	1 Crônicas 29:21 — And they sacrificed sacrifices unto the LORD, and offered burnt offerings unto the LORD, on the morrow after that day, even a thousand bullocks, a tho
iníquo	34	wicked	0.11	1 Coríntios 5:13 — But them that are without God judgeth. Therefore put away from among yourselves that wicked person.
libação	31	continual	0.27	2 Reis 16:13 — And he burnt his burnt offering and his meat offering, and poured his drink offering, and sprinkled the blood of his peace offerings, upon the altar.
intermédio	28	ordain	0.08	2 Néfi 2:6 — Wherefore, redemption cometh in and through the Holy Messiah; for he is full of grace and truth.
exceção	24	settled	0.11	1 Reis 15:22 — Then king Asa made a proclamation throughout all Judah; none was exempted: and they took away the stones of Ramah, and the timber thereof, wherewith B
grandiosas	21	reveal	0.12	1 Néfi 15:3 — For he truly spake many great things unto them, which were hard to be understood, save a man should inquire of the Lord; and they being hard in their 
desígnios	20	purposes	0.29	1 Coríntios 4:5 — Therefore judge nothing before the time, until the Lord come, who both will bring to light the hidden things of darkness, and will make manifest the c
iníqua	18	combination	0.15	2 Néfi 10:3 — Wherefore, as I said unto you, it must needs be expedient that Christ—for in the last night the angel spake unto me that this should be his name—shoul
iníquas	13	obstruction	0.14	2 Pedro 2:8 — (For that righteous man dwelling among them, in seeing and hearing, vexed his righteous soul from day to day with their unlawful deeds;)
apoderou	12	astonishing	0.14	1 Samuel 10:10 — And when they came thither to the hill, behold, a company of prophets met him; and the Spirit of God came upon him, and he prophesied among them.
desígnio	12	crowning	0.15	2 Néfi 20:7 — Howbeit he meaneth not so, neither doth his heart think so; but in his heart it is to destroy and cut off nations not a few.
sofrimento	12	bleed	0.15	Alma 14:10 — And when Amulek saw the pains of the women and children who were consuming in the fire, he also was pained; and he said unto Alma: How can we witness 
aquém	11	tatnai	0.29	1 Crônicas 26:30 — And of the Hebronites, Hashabiah and his brethren, men of valour, a thousand and seven hundred, were officers among them of Israel on this side Jordan
veracidade	11	typifying	0.17	2 Néfi 11:4 — Behold, my soul delighteth in proving unto my people the truth  of the coming of Christ; for, for this end hath the law of Moses  been given; and all 
bordadura	11	overlay	0.27	Êxodo 25:11 — And thou shalt overlay it with pure gold, within and without shalt thou overlay it, and shalt make upon it a crown of gold round about.
resplandecente	11	arrayed	0.17	Isaías 18:4 — For so the LORD said unto me, I will take my rest, and I will consider in my dwelling place like a clear heat upon herbs, and like a cloud of dew in t
vigília	10	rowing	0.20	1 Samuel 11:11 — And it was so on the morrow, that Saul put the people in three companies; and they came into the midst of the host in the morning watch, and slew the 
apressuradamente	9	tatnai	0.15	1 Néfi 20:3 — Behold, I have declared the former things from the beginning; and they went forth out of my mouth, and I showed them. I did show them suddenly.
vestuário	9	raiment	0.21	Doutrina e Convênios 24:18 — And thou shalt take no purse nor scrip, neither staves, neither two coats, for the church shall give unto thee in the very hour what thou needest for 
vestidura	9	swaddlingband	0.20	Doutrina e Convênios 133:51 — And I have trampled them in my fury, and I did tread upon them in mine anger, and their blood have I sprinkled upon my garments, and stained all my ra
impuro	8	violated	0.22	1 Néfi 10:21 — Wherefore, if ye have sought to do wickedly in the days of your probation, then ye are found unclean before the judgment– seat of God; and no unclean 
grandioso	8	bleed	0.22	2 Néfi 3:24 — And there shall rise up one mighty among them, who shall do much good, both in word and in deed, being an instrument in the hands of God, with exceedi
serôdia	8	mowings	0.25	Amós 7:1 — Thus hath the Lord GOD shewed unto me; and, behold, he formed grasshoppers in the beginning of the shooting up of the latter growth; and, lo, it was t
luminária	8	lamps	0.21	Êxodo 35:8 — And oil for the light, and spices for anointing oil, and for the sweet incense,
magnificência	7	majesty	0.26	1 Crônicas 29:11 — Thine, O LORD, is the greatness, and the power, and the glory, and the victory, and the majesty: for all that is in the heaven and in the earth is thi
paço	7	arieh	0.25	1 Reis 16:18 — And it came to pass, when Zimri saw that the city was taken, that he went into the palace of the king's house, and burnt the king's house over him wit
impura	7	dregs	0.15	1 Néfi 15:34 — But behold, I say unto you, the kingdom of God is not filthy, and there cannot any unclean thing enter into the kingdom of God; wherefore there must n
irrepreensível	7	blameless	0.25	1 Timóteo 3:2 — A bishop then must be blameless, the husband of one wife, vigilant, sober, of good behaviour, given to hospitality, apt to teach;
descrença	7	treated	0.18	3 Néfi 1:18 — For they knew that the prophets had testified of these things for many years, and that the sign which had been given was already at hand; and they beg
tenebroso	7	controllest	0.25	Alma 26:3 — Behold, I answer for you; for our brethren, the Lamanites, were in darkness, yea, even in the darkest abyss, but behold, how many of them are brought 
tenra	7	blade	0.29	Doutrina e Convênios 86:4 — But behold, in the last days , even now while the Lord is beginning to bring forth the word, and the blade is springing up and is yet tender—
montês	7	deer	0.25	Deuteronômio 14:5 — The hart, and the roebuck, and the fallow deer, and the wild goat, and the pygarg, and the wild ox, and the chamois.
tenros	7	overdrive	0.29	Gênesis 29:17 — Leah was tender eyed; but Rachel was beautiful and well favoured.
tenro	6	magnifical	0.29	1 Crônicas 22:5 — And David said, Solomon my son is young and tender, and the house that is to be builded for the LORD must be exceeding magnifical, of fame and of glor
crente	6	believer	0.29	1 Coríntios 9:5 — Have we not power to lead about a sister, a wife, as well as other apostles, and as the brethren of the Lord, and Cephas?
mortandade	6	infest	0.25	3 Néfi 1:27 — And it came to pass that the ninety and third year did also pass away in peace, save it were for the Gadianton robbers, who dwelt upon the mountains, 
narração	6	prejudice	0.29	3 Néfi 5:9 — But behold there are records which do contain all the proceedings of this people; and a shorter but true account was given by Nephi.
rebeldia	6	consisted	0.22	Alma 3:6 — And the skins of the Lamanites were dark, according to the mark which was set upon their fathers, which was a curse upon them because of their transgr
sangrenta	6	agosh	0.25	Éter 13:27 — And it came to pass that Coriantumr was exceedingly angry with Shared, and he went against him with his armies to battle; and they did meet in great a
endemoniado	6	legion	0.22	João 10:21 — Others said, These are not the words of him that hath a devil. Can a devil open the eyes of the blind?
especiaria	5	dropping	0.25	1 Reis 10:10 — And she gave the king an hundred and twenty talents of gold, and of spices very great store, and precious stones: there came no more such abundance of
sempiterno	5	gulf	0.17	1 Timóteo 6:16 — Who only hath immortality, dwelling in the light which no man can approach unto; whom no man hath seen, nor can see: to whom be honour and power everl
néscio	5	glorying	0.22	2 Coríntios 12:6 — For though I would desire to glory, I shall not be a fool; for I will say the truth: but now I forbear, lest any man should think of me above that whi
ajuntamento	5	pavilions	0.25	2 Samuel 22:12 — And he made darkness pavilions round about him, dark waters, and thick clouds of the skies.
apoderaram	5	intrigue	0.29	Alma 53:8 — And now it came to pass that the armies of the Lamanites, on the west sea, south, while in the absence of Moroni on account of some intrigue amongst t
sitim	5	harlot's	0.29	Joel 3:18 — And it shall come to pass in that day, that the mountains shall drop down new wine, and the hills shall flow with milk, and all the rivers of Judah sh
varapaus	5	staves	0.20	Lucas 22:52 — Then Jesus said unto the chief priests, and captains of the temple, and the elders, which were come to him, Be ye come out, as against a thief, with s
indecente	4	shorn	0.20	1 Coríntios 11:6 — For if the woman be not covered, let her also be shorn: but if it be a shame for a woman to be shorn or shaven, let her be covered.
devassidão	4	refined	0.17	Alma 30:18 — And thus he did preach unto them, leading away the hearts of many, causing them to lift up their heads in their wickedness, yea, leading away many wom
